Route_Number,Reason,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
L740,Heavy Traffic,08 O'Clock,Others,"RELIANT TRANS, INC. ",-1,1,Running Late
L585,Mechanical Problem,08 O'Clock,Others,"RELIANT TRANS, INC. ",-1,4,Breakdown
K811,Heavy Traffic,08 O'Clock,Brooklyn,"BORO TRANSIT, INC.",15 MIN,3,Running Late
Y909,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,115 HR,2,Running Late
W806,Heavy Traffic,08 O'Clock,Westchester,THOMAS BUSES INC ,15 MIN,2,Running Late
M281,Heavy Traffic,08 O'Clock,Manhattan,LEESEL TRANSP CORP ,35 MIN,4,Running Late
P547,Other,14 O'Clock,Others,ACME BUS CORP. ,15 MIN,1,Running Late
L503,Accident,14 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",-1,1,Breakdown
Y861,Heavy Traffic,15 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,2,Running Late
Y942,Delayed by School,15 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,3,Running Late
X204,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,1,Running Late
X077,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,1,Running Late
X245,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,2,Running Late
Y971,Heavy Traffic,06 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,2,Running Late
M247,Mechanical Problem,06 O'Clock,Manhattan,LEESEL TRANSP CORP ,-1,2,Breakdown
M399,Heavy Traffic,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,1,Running Late
P885,Heavy Traffic,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,25 MIN,7,Running Late
Q141,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
Q821,Heavy Traffic,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,30 MIN,3,Running Late
Y901,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,2,Running Late
Q195,Heavy Traffic,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,45 MIN,3,Running Late
Q824,Heavy Traffic,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,25 MIN,4,Running Late
Y972,Heavy Traffic,07 O'Clock,Bronx,"DON THOMAS BUSES, INC. ",30 MIN,1,Running Late
Q298,Heavy Traffic,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,30 MIN,5,Running Late
K660,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
R354,Mechanical Problem,07 O'Clock,Staten Island,"RELIANT TRANS, INC. ",-1,5,Breakdown
M269,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
K877,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,5,Running Late
L737,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
K957,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,10,Running Late
Q101,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
M720,Heavy Traffic,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,3,Running Late
M179,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
X490,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,6,Running Late
X268,Heavy Traffic,07 O'Clock,Bronx,"BORO TRANSIT, INC.",25-35 MIN,6,Running Late
Y991,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",15 MIN,1,Running Late
J708,Heavy Traffic,07 O'Clock,New Jersey,"RELIANT TRANS, INC. ",20 MIN,9,Running Late
M452,Heavy Traffic,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,3,Running Late
X695,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,8,Running Late
M310,Heavy Traffic,07 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,25-30 MIN,5,Running Late
M519,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
R546,Heavy Traffic,07 O'Clock,Staten Island,"RELIANT TRANS, INC. ",25 MIN,8,Running Late
M282,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,9,Running Late
Q140,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,10,Running Late
L338,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
Y909,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,30 MIN,4,Running Late
J788,Heavy Traffic,07 O'Clock,New Jersey,"RELIANT TRANS, INC. ",25 MIN,8,Running Late
P547,Heavy Traffic,07 O'Clock,Others,ACME BUS CORP. ,40 MIN,2,Running Late
Q034,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
X271,Accident,07 O'Clock,Bronx,"BORO TRANSIT, INC.",50-1 HR,4,Running Late
M770,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
W806,Heavy Traffic,07 O'Clock,Westchester,THOMAS BUSES INC ,25 MIN,1,Running Late
M502,Heavy Traffic,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,30 MIN,3,Running Late
K827,Other,07 O'Clock,Brooklyn,"BORO TRANSIT, INC.",-1,1,Breakdown
W814,Heavy Traffic,07 O'Clock,Westchester,VAN TRANS LLC ,20 MIN,3,Running Late
M691,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,15,Running Late
Q568,Heavy Traffic,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,20 MIN,8,Running Late
N617,Heavy Traffic,07 O'Clock,Nassau County,"THOMAS BUSES, INC. ",20 MIN,1,Running Late
M592,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",25 MIN,10,Running Late
M633,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
M090,Heavy Traffic,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,6,Running Late
X131,Heavy Traffic,07 O'Clock,Bronx,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
X672,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,45 MIN,4,Running Late
K093,Won`t Start,07 O'Clock,Brooklyn,"BORO TRANSIT, INC.",-1,10,Breakdown
J712,Heavy Traffic,07 O'Clock,New Jersey,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
Y923,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",10 MIN,5,Running Late
K637,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
Q325,Heavy Traffic,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,10 MIN,8,Running Late
X146,Heavy Traffic,07 O'Clock,Bronx,"BORO TRANSIT, INC.",15-20 MIN,6,Running Late
X308,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,10,Running Late
L606,Won`t Start,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",-1,5,Breakdown
P562,Heavy Traffic,07 O'Clock,Others,ACME BUS CORP. ,30 MIN,10,Running Late
X387,Heavy Traffic,08 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,12,Running Late
K681,Heavy Traffic,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,9,Running Late
M792,Heavy Traffic,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
J713,Heavy Traffic,08 O'Clock,New Jersey,"RELIANT TRANS, INC. ",25 MIN,11,Running Late
M132,Heavy Traffic,08 O'Clock,Manhattan,LEESEL TRANSP CORP ,30 MIN,6,Running Late
M538,Heavy Traffic,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,10 MIN,1,Running Late
J707,Heavy Traffic,08 O'Clock,New Jersey,"RELIANT TRANS, INC. ",25 MIN,7,Running Late
J508,Heavy Traffic,08 O'Clock,New Jersey,"THOMAS BUSES, INC. ",30 MIN,1,Running Late
P599,Heavy Traffic,07 O'Clock,Others,ACME BUS CORP. ,30 MIN,6,Running Late
N615,Heavy Traffic,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",30 MIN,3,Running Late
J708,Heavy Traffic,08 O'Clock,New Jersey,"RELIANT TRANS, INC. ",20 MIN,9,Running Late
M228,Mechanical Problem,08 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,40 MIN,10,Running Late
X675,Heavy Traffic,08 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,5,Running Late
L623,Heavy Traffic,08 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
N004,Heavy Traffic,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",15 MIN,1,Running Late
L628,Heavy Traffic,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L002,Heavy Traffic,08 O'Clock,Manhattan,B & F SKILLED INC.,25 MIN,2,Running Late
L714,Heavy Traffic,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L353,Mechanical Problem,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",-1,2,Breakdown
L035,Heavy Traffic,08 O'Clock,Manhattan,B & F SKILLED INC.,15 MIN,7,Running Late
M462,Mechanical Problem,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
N903,Heavy Traffic,08 O'Clock,Nassau County,VAN TRANS LLC ,30 MIN,1,Running Late
W905,Heavy Traffic,08 O'Clock,All Boroughs,VAN TRANS LLC ,45 MIN,1,Running Late
L015,Heavy Traffic,08 O'Clock,Manhattan,B & F SKILLED INC.,30 MIN,4,Running Late
X959,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
K580,Mechanical Problem,14 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
M183,Won`t Start,14 O'Clock,Manhattan,"RELIANT TRANS, INC. ",-1,6,Breakdown
W811,Other,15 O'Clock,Westchester,THOMAS BUSES INC ,-1,2,Breakdown
L623,Other,15 O'Clock,Others,"RELIANT TRANS, INC. ",-1,11,Breakdown
M303,Heavy Traffic,16 O'Clock,Manhattan,G.V.C. LTD. ,20 MIN,2,Running Late
M738,Mechanical Problem,06 O'Clock,Manhattan,LEESEL TRANSP CORP ,45 MIN,1,Running Late
L022,Heavy Traffic,06 O'Clock,Brooklyn,B & F SKILLED INC.,25 MIN,1,Running Late
Y503,Heavy Traffic,06 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,1,Running Late
Q824,Heavy Traffic,06 O'Clock,Queens,FIRST STEPS TRANSP INC. ,30 MIN,2,Running Late
W003,Heavy Traffic,06 O'Clock,Westchester,"BORO TRANSIT, INC.",25-35 MIN,2,Running Late
Q000,Heavy Traffic,06 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L742,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC. ",25 MIN,3,Running Late
P608,Heavy Traffic,06 O'Clock,Others,ACME BUS CORP. ,20 MIN,1,Running Late
Q044,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
X009,Other,07 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,30-35 MIN,1,Running Late
Q212,Mechanical Problem,07 O'Clock,Queens,PRIDE TRANSPORTATION ,-1,3,Breakdown
X928,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,1,Running Late
L014,Heavy Traffic,07 O'Clock,Manhattan,B & F SKILLED INC.,20 MIN,3,Running Late
M452,Heavy Traffic,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
Q821,Heavy Traffic,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,20 MIN,4,Running Late
M094,Problem Run,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,2,Running Late
M635,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",25 MIN,5,Running Late
M353,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
Q851,Heavy Traffic,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,15 MIN,3,Running Late
Y966,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,4,Running Late
L520,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
N751,Heavy Traffic,07 O'Clock,Nassau County,"BORO TRANSIT, INC.",45 MIN,1,Running Late
Y923,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,5,Running Late
L351,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
X490,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,5,Running Late
Y868,Heavy Traffic,07 O'Clock,Manhattan,"DON THOMAS BUSES, INC. ",20 MIN,7,Running Late
K337,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X695,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,20 MIN,8,Running Late
P855,Problem Run,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
Y902,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,45 MIN,4,Running Late
Q101,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
K957,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,7,Running Late
Y973,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,4,Running Late
M418,Problem Run,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,10,Running Late
X382,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,12,Running Late
X272,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,13,Running Late
Q150,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
R664,Heavy Traffic,07 O'Clock,Staten Island,"RELIANT TRANS, INC. ",25 MIN,3,Running Late
X187,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,12,Running Late
Q034,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
Y909,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,45 MIN,5,Running Late
X387,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,10,Running Late
K877,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,4,Running Late
M549,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X696,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,20 MIN,6,Running Late
X562,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,30 MIN,4,Running Late
M592,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,10,Running Late
M179,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
X152,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,13,Running Late
M766,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
X726,Heavy Traffic,07 O'Clock,Bronx,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
X000,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,18,Running Late
K637,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
Y941,Heavy Traffic,07 O'Clock,Queens,PRIDE TRANSPORTATION ,30 MIN,4,Running Late
Y880,Accident,07 O'Clock,Bronx,"DON THOMAS BUSES, INC. ",120 MIN,7,Running Late
X694,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,15 MIN,10,Running Late
X383,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,18,Running Late
Y943,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",30 MIN,3,Running Late
N617,Heavy Traffic,07 O'Clock,Nassau County,"THOMAS BUSES, INC. ",15 MIN,1,Running Late
N615,Heavy Traffic,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",20 MIN,3,Running Late
X672,Heavy Traffic,08 O'Clock,Bronx,G.V.C. LTD. ,1 HR,5,Running Late
L013,Heavy Traffic,07 O'Clock,Brooklyn,B & F SKILLED INC.,15 MIN,2,Running Late
M278,Heavy Traffic,06 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,1,Running Late
X391,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,21,Running Late
Q055,Heavy Traffic,08 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,10,Running Late
X973,Heavy Traffic,08 O'Clock,Bronx,G.V.C. LTD. ,20 MIN,9,Running Late
M274,Other,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,2,Running Late
M405,Heavy Traffic,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,15 MIN,11,Running Late
M792,Heavy Traffic,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
Q038,Heavy Traffic,08 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
X959,Heavy Traffic,08 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
M427,Other,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,3,Running Late
Q486,Heavy Traffic,08 O'Clock,Queens,FIRST STEPS TRANSP INC. ,15 MIN,1,Running Late
M493,Heavy Traffic,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
M561,Heavy Traffic,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
M659,Heavy Traffic,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,30 MIN,3,Running Late
M477,Heavy Traffic,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,15 MIN,4,Running Late
K780,Heavy Traffic,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,10,Running Late
M538,Heavy Traffic,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
M471,Heavy Traffic,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,6,Running Late
N995,Heavy Traffic,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",30 MIN,4,Running Late
R628,Heavy Traffic,08 O'Clock,Staten Island,"RELIANT TRANS, INC. ",15 MIN,6,Running Late
U924,Heavy Traffic,08 O'Clock,Rockland County,"THOMAS BUSES, INC. ",15 MIN,1,Running Late
M113,Problem Run,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,1 HR,6,Running Late
L015,Heavy Traffic,08 O'Clock,Brooklyn,B & F SKILLED INC.,30 MIN,3,Running Late
K566,Heavy Traffic,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L035,Heavy Traffic,08 O'Clock,Manhattan,B & F SKILLED INC.,15 MIN,3,Running Late
M960,Heavy Traffic,08 O'Clock,Manhattan,"THOMAS BUSES, INC. ",30 MIN,1,Running Late
P240,Heavy Traffic,08 O'Clock,Queens,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
W806,Heavy Traffic,08 O'Clock,Westchester,THOMAS BUSES INC ,20 MIN,3,Running Late
M286,Heavy Traffic,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,4,Running Late
L026,Heavy Traffic,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",20 MIN,3,Running Late
P553,Heavy Traffic,08 O'Clock,Queens,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
L740,Heavy Traffic,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
M303,Heavy Traffic,08 O'Clock,Manhattan,G.V.C. LTD. ,10 MIN,1,Running Late
P308,Heavy Traffic,08 O'Clock,Others,ACME BUS CORP. ,30 MIN,3,Running Late
L346,Heavy Traffic,06 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,1,Running Late
X382,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,2,Running Late
X262,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,3,Running Late
X349,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,4,Running Late
X349,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,4,Running Late
X024,Heavy Traffic,06 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,25-35 MIN,2,Running Late
X009,Accident,06 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,1 HR,3,Running Late
Q212,Mechanical Problem,06 O'Clock,Queens,PRIDE TRANSPORTATION ,-1,4,Breakdown
X928,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
Y977,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,5,Running Late
Y909,Mechanical Problem,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,-1,1,Breakdown
X496,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,15 MIN,2,Running Late
Y901,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,1,Running Late
Y923,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,6,Running Late
P302,Heavy Traffic,07 O'Clock,Others,ACME BUS CORP. ,30 MIN,1,Running Late
X672,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,5,Running Late
Q195,Weather Conditions,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,45 MIN,4,Running Late
P237,Heavy Traffic,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
Q821,Heavy Traffic,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,10 MIN,2,Running Late
K630,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,8,Running Late
M094,Heavy Traffic,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,4,Running Late
K630,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X171,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,45 MIN,6,Running Late
L649,Mechanical Problem,07 O'Clock,Bronx,"RELIANT TRANS, INC. ",-1,2,Breakdown
L737,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
Q825,Problem Run,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,15 MIN,2,Running Late
M220,Heavy Traffic,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,45 MIN,3,Running Late
P631,Heavy Traffic,07 O'Clock,Others,ACME BUS CORP. ,20 MIN,1,Running Late
K780,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,10,Running Late
R664,Heavy Traffic,07 O'Clock,Staten Island,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
M462,Problem Run,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,4,Running Late
M718,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",15 MIN,2,Running Late
Q485,Problem Run,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,30 MIN,5,Running Late
Q034,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
Y972,Heavy Traffic,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",15 MIN,1,Running Late
Y926,Heavy Traffic,07 O'Clock,Bronx,"DON THOMAS BUSES, INC. ",30 MIN,9,Running Late
M405,Heavy Traffic,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,6,Running Late
X001,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,12,Running Late
L536,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
M041,Problem Run,07 O'Clock,Manhattan,"THOMAS BUSES, INC. ",30 MIN,2,Running Late
M179,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
X187,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,24,Running Late
X696,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,4,Running Late
K337,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
M635,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
M561,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
M610,Heavy Traffic,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
X238,Heavy Traffic,07 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,10,Running Late
Q527,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",25 MIN,3,Running Late
W956,Heavy Traffic,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,7,Running Late
M625,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,6,Running Late
M842,Weather Conditions,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,3,Running Late
Q053,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
K517,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,9,Running Late
L526,Heavy Traffic,07 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,6,Running Late
X959,Heavy Traffic,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
K637,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
Q161,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
Q051,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
Y937,Heavy Traffic,07 O'Clock,Queens,PRIDE TRANSPORTATION ,30 MIN,3,Running Late
Q526,Heavy Traffic,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
J708,Heavy Traffic,08 O'Clock,New Jersey,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
L520,Heavy Traffic,08 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,20,Running Late
