Route_Number,Reason,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M658,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,1,Running Late
M257,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,25 MIN,1,Running Late
M636,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
M631,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,5,Running Late
M802,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,6,Running Late
M990,Problem Run,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,6,Running Late
X951,Heavy Traffic,08 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,7,Running Late
M704,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
X058,Other,08 O'Clock,Bronx,VAN TRANS LLC,30 MIN,10,Running Late
M664,Problem Run,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
U902,Heavy Traffic,08 O'Clock,Rockland County,"RELIANT TRANS, INC.",15 MIN,4,Running Late
Q845,Heavy Traffic,08 O'Clock,Queens,HOYT TRANSPORTATION CORP.,10 MIN,2,Running Late
L702,Other,08 O'Clock,Brooklyn,"RELIANT TRANS, INC.",20 MIN,1,Running Late
L515,Heavy Traffic,08 O'Clock,Queens,"RELIANT TRANS, INC.",15 MIN,5,Running Late
K444,Mechanical Problem,08 O'Clock,Brooklyn,L & M BUS CORP ,-1,6,Breakdown
M753,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
X438,Delayed by School,08 O'Clock,Bronx,HOYT TRANSPORTATION CORP.,40 MIN,3,Running Late
K562,Flat Tire,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,-1,5,Breakdown
M604,Heavy Traffic,16 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,40 MIN,4,Running Late
X051,Other,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,2,Running Late
M704,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M007,Other,07 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,25-30 MIN,7,Running Late
Q850,Heavy Traffic,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,30 MIN,2,Running Late
M658,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,3,Running Late
K554,Other,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,30 MIN,1,Running Late
M656,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,5,Running Late
M753,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
X345,Accident,07 O'Clock,Bronx,VAN TRANS LLC,40 MIN,2,Running Late
M802,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,6,Running Late
P842,Other,07 O'Clock,Queens,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
X354,Other,08 O'Clock,Bronx,"BORO TRANSIT, INC.",40 MIN,15,Running Late
M657,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,9,Running Late
M208,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,7,Running Late
M867,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,5 MIN,1,Running Late
M686,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,35 MIN,4,Running Late
M808,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,45 MIN,5,Running Late
K650,Mechanical Problem,14 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,-1,4,Breakdown
Q801,Mechanical Problem,15 O'Clock,Queens,HOYT TRANSPORTATION CORP.,-1,3,Breakdown
M658,Other,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,1,Running Late
K843,Mechanical Problem,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,-1,2,Breakdown
M860,Heavy Traffic,07 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,25-30 MIN,3,Running Late
P899,Won`t Start,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,-1,1,Breakdown
M696,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,6,Running Late
M531,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
W797,Heavy Traffic,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
Y966,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
W646,Heavy Traffic,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
X951,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
N924,Heavy Traffic,07 O'Clock,Nassau County,"BORO TRANSIT, INC.",20-30 MIN,4,Running Late
W901,Heavy Traffic,07 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,30 MIN,3,Running Late
X954,Other,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,30 MIN,9,Running Late
M611,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M802,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,35 MIN,11,Running Late
X360,Other,07 O'Clock,Bronx,"BORO TRANSIT, INC.",30 MIN,7,Running Late
M753,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
M546,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,11,Running Late
X354,Heavy Traffic,07 O'Clock,Bronx,"BORO TRANSIT, INC.",40-45 MIN,8,Running Late
M257,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,25 MIN,9,Running Late
M808,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,5,Running Late
W794,Heavy Traffic,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
P844,Heavy Traffic,08 O'Clock,Queens,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M212,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,7,Running Late
M867,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,3,Running Late
M796,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,8,Running Late
K587,Flat Tire,08 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,-1,4,Breakdown
M208,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,8,Running Late
M307,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,25 MIN,9,Running Late
R770,Mechanical Problem,08 O'Clock,Staten Island,PRIDE TRANSPORTATION ,20 MIN,6,Running Late
R707,Heavy Traffic,08 O'Clock,Staten Island,PRIDE TRANSPORTATION ,15 MIN,5,Running Late
K045,Accident,15 O'Clock,Brooklyn,CONSOLIDATED BUS TRANS. I,-1,7,Running Late
L731,Heavy Traffic,06 O'Clock,Queens,"RELIANT TRANS, INC.",25 MIN,1,Running Late
M692,Heavy Traffic,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,1,Running Late
M658,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M531,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,2,Running Late
M704,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
K527,Other,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,2,Running Late
Y966,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,10 MIN,2,Running Late
M694,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
K823,Mechanical Problem,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,-1,1,Breakdown
W905,Heavy Traffic,07 O'Clock,Westchester,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
K587,Heavy Traffic,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,5,Running Late
M657,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
M526,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M257,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,25 MIN,4,Running Late
X954,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,15 MIN,9,Running Late
K804,Heavy Traffic,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,10 MIN,6,Running Late
K690,Heavy Traffic,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,10 MIN,8,Running Late
M696,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,8,Running Late
X951,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,5 MIN,8,Running Late
M636,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,45 MIN,5,Running Late
X218,Other,07 O'Clock,Bronx,"BORO TRANSIT, INC.",15-20 MIN,7,Running Late
M802,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,8,Running Late
M631,Problem Run,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
M300,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,6,Running Late
M671,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,8,Running Late
M664,Problem Run,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,4,Running Late
M648,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
M208,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,7,Running Late
M635,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,45 MIN,6,Running Late
M868,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,3,Running Late
M656,Heavy Traffic,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,1,Running Late
K650,Heavy Traffic,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,20 MIN,2,Running Late
M704,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
M658,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
M531,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,3,Running Late
M210,Other,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,1 HR,2,Running Late
X493,Heavy Traffic,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,10 MIN,5,Running Late
M657,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
M526,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,6,Running Late
M936,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M749,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
M802,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,9,Running Late
M300,Heavy Traffic,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,8,Running Late
M631,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
M808,Heavy Traffic,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
K810,Heavy Traffic,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
M650,Other,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M868,Heavy Traffic,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,3,Running Late
K591,Heavy Traffic,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,1 HR,8,Running Late
M704,Problem Run,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,3,Running Late
X051,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC,10 MIN,3,Running Late
X369,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,4,Running Late
X047,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,5,Running Late
M657,Problem Run,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,2,Running Late
W977,Heavy Traffic,06 O'Clock,Westchester,"BORO TRANSIT, INC.",25-35 MIN,2,Running Late
X060,Other,07 O'Clock,Bronx,"BORO TRANSIT, INC.",35-45 MIN,3,Running Late
M753,Heavy Traffic,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
X341,Heavy Traffic,06 O'Clock,Bronx,VAN TRANS LLC,10 MIN,4,Running Late
X019,Other,07 O'Clock,Bronx,VAN TRANS LLC,35 MIN,8,Running Late
M696,Problem Run,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,6,Running Late
W950,Other,07 O'Clock,Bronx,"RELIANT TRANS, INC.",15 MIN,5,Running Late
L726,Heavy Traffic,07 O'Clock,Brooklyn,"RELIANT TRANS, INC.",-1,2,Running Late
