Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M990,Problem Run,2622,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,6,Running Late
X951,Heavy Traffic,10264,08 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,7,Running Late
M704,Heavy Traffic,1378,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
M664,Problem Run,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
U902,Heavy Traffic,75958,08 O'Clock,Rockland County,"RELIANT TRANS, INC.",15 MIN,4,Running Late
Q845,Heavy Traffic,28008,08 O'Clock,Queens,HOYT TRANSPORTATION CORP.,10 MIN,2,Running Late
L702,Other,14646,08 O'Clock,Brooklyn,"RELIANT TRANS, INC.",20 MIN,1,Running Late
L515,Heavy Traffic,20685,08 O'Clock,Queens,"RELIANT TRANS, INC.",15 MIN,5,Running Late
K444,Mechanical Problem,18433,08 O'Clock,Brooklyn,L & M BUS CORP ,-1,6,Breakdown
M753,Heavy Traffic,3480,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,5,Running Late
X438,Delayed by School,10475,08 O'Clock,Bronx,HOYT TRANSPORTATION CORP.,40 MIN,3,Running Late
K562,Flat Tire,20470,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,-1,5,Breakdown
X051,Other,11012,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,2,Running Late
M704,Heavy Traffic,1378,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,2,Running Late
M007,Other,6346,07 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,25-30 MIN,7,Running Late
Q850,Heavy Traffic,24488,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,30 MIN,2,Running Late
M658,Heavy Traffic,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,3,Running Late
K554,Other,16409,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,30 MIN,1,Running Late
M656,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,5,Running Late
M753,Problem Run,3480,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,4,Running Late
X345,Accident,8101,07 O'Clock,Bronx,VAN TRANS LLC,40 MIN,2,Running Late
P842,Other,28402,07 O'Clock,Queens,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
X354,Other,8468,08 O'Clock,Bronx,"BORO TRANSIT, INC.",40 MIN,15,Running Late
M657,Heavy Traffic,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,9,Running Late
M208,Heavy Traffic,2699,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,7,Running Late
M867,Heavy Traffic,4839,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,5 MIN,1,Running Late
M686,Heavy Traffic,2654,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,35 MIN,4,Running Late
M808,Heavy Traffic,2632,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,45 MIN,5,Running Late
M658,Other,2911,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,1,Running Late
K843,Mechanical Problem,21560,07 O'Clock,Brooklyn,HOYT TRANSPORTATION CORP.,-1,2,Breakdown
M860,Heavy Traffic,3475,07 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,25-30 MIN,3,Running Late
P899,Won`t Start,30166,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,-1,1,Breakdown
M531,Heavy Traffic,5154,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
