Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M132,Heavy Traffic,1020,08 O'Clock,Manhattan,LEESEL TRANSP CORP ,30 MIN,6,Running Late
M538,Heavy Traffic,2436,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,10 MIN,1,Running Late
J707,Heavy Traffic,75003,08 O'Clock,New Jersey,"RELIANT TRANS, INC. ",25 MIN,7,Running Late
J508,Heavy Traffic,75580,08 O'Clock,New Jersey,"THOMAS BUSES, INC. ",30 MIN,1,Running Late
P599,Heavy Traffic,28522,07 O'Clock,Others,ACME BUS CORP. ,30 MIN,6,Running Late
N615,Heavy Traffic,75627,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",30 MIN,3,Running Late
J708,Heavy Traffic,75003,08 O'Clock,New Jersey,"RELIANT TRANS, INC. ",20 MIN,9,Running Late
M228,Mechanical Problem,2799,08 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,40 MIN,10,Running Late
X675,Heavy Traffic,8367,08 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,5,Running Late
L623,Heavy Traffic,17862,08 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
N004,Heavy Traffic,75627,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",15 MIN,1,Running Late
L628,Heavy Traffic,17862,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L002,Heavy Traffic,14471,08 O'Clock,Manhattan,B & F SKILLED INC.,25 MIN,2,Running Late
L714,Heavy Traffic,20727,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L353,Mechanical Problem,14018,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",-1,2,Breakdown
L035,Heavy Traffic,"2,083,521,894",08 O'Clock,Manhattan,B & F SKILLED INC.,15 MIN,7,Running Late
M462,Mechanical Problem,6192,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
N903,Heavy Traffic,75886,08 O'Clock,Nassau County,VAN TRANS LLC ,30 MIN,1,Running Late
W905,Heavy Traffic,75615,08 O'Clock,All Boroughs,VAN TRANS LLC ,45 MIN,1,Running Late
L015,Heavy Traffic,13685,08 O'Clock,Manhattan,B & F SKILLED INC.,30 MIN,4,Running Late
X959,Heavy Traffic,7296,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
M738,Mechanical Problem,5065,06 O'Clock,Manhattan,LEESEL TRANSP CORP ,45 MIN,1,Running Late
L022,Heavy Traffic,20685,06 O'Clock,Brooklyn,B & F SKILLED INC.,25 MIN,1,Running Late
Y503,Heavy Traffic,11816,06 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,1,Running Late
Q824,Heavy Traffic,28402,06 O'Clock,Queens,FIRST STEPS TRANSP INC. ,30 MIN,2,Running Late
W003,Heavy Traffic,75615,06 O'Clock,Westchester,"BORO TRANSIT, INC.",25-35 MIN,2,Running Late
Q000,Heavy Traffic,26179,06 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L742,Heavy Traffic,21370,07 O'Clock,Others,"RELIANT TRANS, INC. ",25 MIN,3,Running Late
Q044,Heavy Traffic,30145,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
X009,Other,12486,07 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,30-35 MIN,1,Running Late
Q212,Mechanical Problem,28354,07 O'Clock,Queens,PRIDE TRANSPORTATION ,-1,3,Breakdown
X928,Heavy Traffic,9003,07 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,1,Running Late
L014,Heavy Traffic,"2,041,520,654",07 O'Clock,Manhattan,B & F SKILLED INC.,20 MIN,3,Running Late
M452,Heavy Traffic,2312,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
Q821,Heavy Traffic,24343,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,20 MIN,4,Running Late
M094,Problem Run,3075,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,2,Running Late
M635,Heavy Traffic,3279,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",25 MIN,5,Running Late
M353,Heavy Traffic,6115,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
Q851,Heavy Traffic,26490,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,15 MIN,3,Running Late
Y966,Heavy Traffic,9004,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,4,Running Late
L520,Heavy Traffic,20443,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
N751,Heavy Traffic,75910,07 O'Clock,Nassau County,"BORO TRANSIT, INC.",45 MIN,1,Running Late
Y923,Heavy Traffic,8146,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,5,Running Late
L351,Heavy Traffic,14300,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
X490,Heavy Traffic,12486,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,5,Running Late
Y868,Heavy Traffic,7434,07 O'Clock,Manhattan,"DON THOMAS BUSES, INC. ",20 MIN,7,Running Late
K337,Heavy Traffic,22527,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X695,Heavy Traffic,8072,07 O'Clock,Bronx,G.V.C. LTD. ,20 MIN,8,Running Late
P855,Problem Run,26447,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
Y902,Heavy Traffic,7001,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,45 MIN,4,Running Late
Q101,Heavy Traffic,24087,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
K957,Heavy Traffic,16409,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,7,Running Late
Y973,Heavy Traffic,11505,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,4,Running Late
M418,Problem Run,4001,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,10,Running Late
X382,Heavy Traffic,11076,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,12,Running Late
X272,Heavy Traffic,10444,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,13,Running Late
Q150,Heavy Traffic,24409,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
R664,Heavy Traffic,31067,07 O'Clock,Staten Island,"RELIANT TRANS, INC. ",25 MIN,3,Running Late
X187,Heavy Traffic,8152,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,12,Running Late
Q034,Heavy Traffic,24009,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
Y909,Heavy Traffic,12084,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,45 MIN,5,Running Late
K877,Heavy Traffic,20180,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,4,Running Late
M549,Heavy Traffic,2655,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X696,Heavy Traffic,8101,07 O'Clock,Bronx,G.V.C. LTD. ,20 MIN,6,Running Late
X562,Heavy Traffic,11458,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,30 MIN,4,Running Late
M592,Heavy Traffic,6028,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,10,Running Late
M179,Heavy Traffic,4112,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
X152,Heavy Traffic,8516,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,13,Running Late
M766,Heavy Traffic,6048,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
X726,Heavy Traffic,11742,07 O'Clock,Bronx,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
X000,Heavy Traffic,11688,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,18,Running Late
K637,Heavy Traffic,22663,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
Y941,Heavy Traffic,11458,07 O'Clock,Queens,PRIDE TRANSPORTATION ,30 MIN,4,Running Late
Y880,Accident,7449,07 O'Clock,Bronx,"DON THOMAS BUSES, INC. ",120 MIN,7,Running Late
X694,Heavy Traffic,8014,07 O'Clock,Bronx,G.V.C. LTD. ,15 MIN,10,Running Late
X383,Heavy Traffic,11089,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,18,Running Late
Y943,Heavy Traffic,11455,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",30 MIN,3,Running Late
N617,Heavy Traffic,75627,07 O'Clock,Nassau County,"THOMAS BUSES, INC. ",15 MIN,1,Running Late
N615,Heavy Traffic,75627,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",20 MIN,3,Running Late
X672,Heavy Traffic,8140,08 O'Clock,Bronx,G.V.C. LTD. ,1 HR,5,Running Late
L013,Heavy Traffic,20205,07 O'Clock,Brooklyn,B & F SKILLED INC.,15 MIN,2,Running Late
M278,Heavy Traffic,2911,06 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,1,Running Late
X391,Heavy Traffic,10020,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,21,Running Late
Q055,Heavy Traffic,27090,08 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,10,Running Late
X973,Heavy Traffic,11519,08 O'Clock,Bronx,G.V.C. LTD. ,20 MIN,9,Running Late
M274,Other,2930,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,2,Running Late
M405,Heavy Traffic,4002,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,15 MIN,11,Running Late
M792,Heavy Traffic,2872,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
X959,Heavy Traffic,7296,08 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
M427,Other,3417,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,3,Running Late
Q486,Heavy Traffic,30112,08 O'Clock,Queens,FIRST STEPS TRANSP INC. ,15 MIN,1,Running Late
M493,Heavy Traffic,4839,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
M561,Heavy Traffic,2568,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
M659,Heavy Traffic,2918,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,30 MIN,3,Running Late
M477,Heavy Traffic,2019,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,15 MIN,4,Running Late
K780,Heavy Traffic,14432,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,10,Running Late
M538,Heavy Traffic,2436,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,20 MIN,2,Running Late
M471,Heavy Traffic,2911,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,6,Running Late
N995,Heavy Traffic,75691,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",30 MIN,4,Running Late
R628,Heavy Traffic,31028,08 O'Clock,Staten Island,"RELIANT TRANS, INC. ",15 MIN,6,Running Late
U924,Heavy Traffic,75958,08 O'Clock,Rockland County,"THOMAS BUSES, INC. ",15 MIN,1,Running Late
M113,Problem Run,3407,08 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,1 HR,6,Running Late
L015,Heavy Traffic,13685,08 O'Clock,Brooklyn,B & F SKILLED INC.,30 MIN,3,Running Late
K566,Heavy Traffic,15558,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L035,Heavy Traffic,"2,083,521,895",08 O'Clock,Manhattan,B & F SKILLED INC.,15 MIN,3,Running Late
M960,Heavy Traffic,3004,08 O'Clock,Manhattan,"THOMAS BUSES, INC. ",30 MIN,1,Running Late
P240,Heavy Traffic,25802,08 O'Clock,Queens,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
W806,Heavy Traffic,75912,08 O'Clock,Westchester,THOMAS BUSES INC ,20 MIN,3,Running Late
M286,Heavy Traffic,2622,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,4,Running Late
L026,Heavy Traffic,17862,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",20 MIN,3,Running Late
P553,Heavy Traffic,25927,08 O'Clock,Queens,HOYT TRANSPORTATION CORP.,20 MIN,5,Running Late
L740,Heavy Traffic,13685,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
M303,Heavy Traffic,4050,08 O'Clock,Manhattan,G.V.C. LTD. ,10 MIN,1,Running Late
P308,Heavy Traffic,26806,08 O'Clock,Others,ACME BUS CORP. ,30 MIN,3,Running Late
L346,Heavy Traffic,14435,06 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,1,Running Late
X382,Heavy Traffic,11076,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,2,Running Late
X262,Heavy Traffic,10122,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,3,Running Late
X349,Heavy Traffic,11519,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,4,Running Late
X349,Heavy Traffic,11519,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,4,Running Late
X024,Heavy Traffic,11012,06 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,25-35 MIN,2,Running Late
X009,Accident,12486,06 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,1 HR,3,Running Late
Q212,Mechanical Problem,28354,06 O'Clock,Queens,PRIDE TRANSPORTATION ,-1,4,Breakdown
X928,Heavy Traffic,9003,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
Y977,Heavy Traffic,12486,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,5,Running Late
Y909,Mechanical Problem,12084,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,-1,1,Breakdown
X496,Heavy Traffic,12486,07 O'Clock,Bronx,G.V.C. LTD. ,15 MIN,2,Running Late
Y901,Heavy Traffic,7794,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,1,Running Late
Y923,Heavy Traffic,8146,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,6,Running Late
P302,Heavy Traffic,28139,07 O'Clock,Others,ACME BUS CORP. ,30 MIN,1,Running Late
X672,Heavy Traffic,8140,07 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,5,Running Late
Q195,Weather Conditions,24075,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,45 MIN,4,Running Late
P237,Heavy Traffic,25802,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
Q821,Heavy Traffic,24343,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,10 MIN,2,Running Late
K630,Heavy Traffic,21506,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,8,Running Late
M094,Heavy Traffic,3075,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,4,Running Late
K630,Heavy Traffic,21506,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X171,Heavy Traffic,12067,07 O'Clock,Bronx,VAN TRANS LLC ,45 MIN,6,Running Late
L649,Mechanical Problem,18002,07 O'Clock,Bronx,"RELIANT TRANS, INC. ",-1,2,Breakdown
L737,Heavy Traffic,18066,07 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
Q825,Problem Run,24010,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,15 MIN,2,Running Late
M220,Heavy Traffic,2654,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,45 MIN,3,Running Late
P631,Heavy Traffic,28402,07 O'Clock,Others,ACME BUS CORP. ,20 MIN,1,Running Late
K780,Heavy Traffic,14432,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",25 MIN,10,Running Late
R664,Heavy Traffic,31067,07 O'Clock,Staten Island,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
M462,Problem Run,6209,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,4,Running Late
M718,Heavy Traffic,4108,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",15 MIN,2,Running Late
Q485,Problem Run,24721,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,30 MIN,5,Running Late
Q034,Heavy Traffic,24009,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
Y972,Heavy Traffic,11505,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",15 MIN,1,Running Late
M405,Heavy Traffic,4002,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,6,Running Late
X001,Heavy Traffic,11556,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,12,Running Late
L536,Heavy Traffic,13307,07 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
M041,Problem Run,1616,07 O'Clock,Manhattan,"THOMAS BUSES, INC. ",30 MIN,2,Running Late
M179,Heavy Traffic,4112,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,3,Running Late
X187,Heavy Traffic,8152,07 O'Clock,Bronx,VAN TRANS LLC ,15 MIN,24,Running Late
X696,Heavy Traffic,8101,07 O'Clock,Bronx,G.V.C. LTD. ,30 MIN,4,Running Late
K337,Heavy Traffic,22527,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
M635,Heavy Traffic,3279,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
M561,Heavy Traffic,2568,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",15 MIN,5,Running Late
M610,Heavy Traffic,5036,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
X238,Heavy Traffic,10445,07 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,10,Running Late
Q053,Heavy Traffic,27060,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
K517,Heavy Traffic,15088,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,9,Running Late
L526,Heavy Traffic,13433,07 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,6,Running Late
X959,Heavy Traffic,7296,07 O'Clock,Bronx,G.V.C. LTD. ,10 MIN,1,Running Late
K637,Heavy Traffic,22663,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
Q161,Heavy Traffic,28471,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,7,Running Late
Q051,Heavy Traffic,28072,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
Y937,Heavy Traffic,11816,07 O'Clock,Queens,PRIDE TRANSPORTATION ,30 MIN,3,Running Late
Q526,Heavy Traffic,24687,07 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
J708,Heavy Traffic,75003,08 O'Clock,New Jersey,"RELIANT TRANS, INC. ",20 MIN,11,Running Late
L520,Heavy Traffic,20443,08 O'Clock,Others,"RELIANT TRANS, INC. ",15 MIN,20,Running Late
Y902,Flat Tire,7001,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,-1,6,Breakdown
L366,Heavy Traffic,19036,08 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,4,Running Late
L014,Heavy Traffic,20415,07 O'Clock,Brooklyn,B & F SKILLED INC.,15 MIN,6,Running Late
M561,Heavy Traffic,2568,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,8,Running Late
M677,Heavy Traffic,3464,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
M278,Heavy Traffic,2911,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,25 MIN,9,Running Late
M659,Heavy Traffic,2918,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,40 MIN,5,Running Late
X001,Heavy Traffic,11556,07 O'Clock,Bronx,VAN TRANS LLC ,30 MIN,15,Running Late
M817,Heavy Traffic,2031,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,45 MIN,4,Running Late
L623,Heavy Traffic,17862,08 O'Clock,Others,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
L628,Other,17862,08 O'Clock,Queens,"RELIANT TRANS, INC. ",20 MIN,5,Running Late
N283,Heavy Traffic,75691,08 O'Clock,Nassau County,"THOMAS BUSES, INC. ",1 HR,1,Running Late
L015,Heavy Traffic,13685,08 O'Clock,Brooklyn,B & F SKILLED INC.,30 MIN,3,Running Late
W814,Heavy Traffic,75470,08 O'Clock,All Boroughs,VAN TRANS LLC ,45 MIN,2,Running Late
L740,Heavy Traffic,13685,08 O'Clock,Others,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
M198,Other,3004,08 O'Clock,Manhattan,"RELIANT TRANS, INC. ",15 MIN,3,Running Late
M935,Heavy Traffic,2699,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,25 MIN,10,Running Late
Y923,Heavy Traffic,8146,15 O'Clock,Others,"DON THOMAS BUSES, INC. ",15 MIN,1,Running Late
Y909,Heavy Traffic,12084,06 O'Clock,Bronx,PRIDE TRANSPORTATION ,30 MIN,1,Running Late
M388,Weather Conditions,2566,06 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,25-35 MIN,1,Running Late
M400,Weather Conditions,2001,06 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,25-35 MIN,1,Running Late
X258,Other,10012,06 O'Clock,Bronx,VAN TRANS LLC ,20 MIN,1,Running Late
X391,Weather Conditions,10020,06 O'Clock,Bronx,VAN TRANS LLC ,30 MIN,1,Running Late
X024,Weather Conditions,11012,06 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,25-35 MIN,2,Running Late
X100,Weather Conditions,7043,06 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,25-35 MIN,2,Running Late
Y991,Heavy Traffic,11111,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,2,Running Late
X500,Other,12486,07 O'Clock,Bronx,G.V.C. LTD. ,20 MIN,1,Running Late
Y964,Heavy Traffic,9035,07 O'Clock,Bronx,"DON THOMAS BUSES, INC. ",30 MIN,1,Running Late
P240,Accident,25802,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,30 MIN,4,Running Late
Y985,Heavy Traffic,11076,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,5,Running Late
Y959,Heavy Traffic,10445,07 O'Clock,Manhattan,"DON THOMAS BUSES, INC. ",20 MIN,2,Running Late
X000,Weather Conditions,11688,07 O'Clock,Bronx,VAN TRANS LLC ,40 MIN,9,Running Late
L644,Heavy Traffic,18208,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
L019,Heavy Traffic,"2,020,520,519",07 O'Clock,Brooklyn,B & F SKILLED INC.,20 MIN,2,Running Late
X830,Weather Conditions,12084,07 O'Clock,Bronx,"BORO TRANSIT, INC.",25-35 MIN,6,Running Late
M525,Heavy Traffic,2667,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X833,Weather Conditions,12084,07 O'Clock,Bronx,"BORO TRANSIT, INC.",25-35 MIN,5,Running Late
Q851,Heavy Traffic,26490,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,15 MIN,3,Running Late
P875,Heavy Traffic,"2,840,228,600",07 O'Clock,Queens,MUTUAL BUS CORP. ,45 MIN,5,Running Late
Y868,Heavy Traffic,7434,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,7,Running Late
Q824,Heavy Traffic,28402,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,30 MIN,3,Running Late
X344,Other,10377,07 O'Clock,Bronx,"BORO TRANSIT, INC.",15-20 MIN,7,Running Late
K337,Heavy Traffic,22527,07 O'Clock,Brooklyn,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
Y730,Heavy Traffic,11688,07 O'Clock,Others,"DON THOMAS BUSES, INC. ",20 MIN,4,Running Late
X410,Weather Conditions,7151,07 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,25-35 MIN,6,Running Late
L338,Heavy Traffic,22657,07 O'Clock,Others,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
M462,Problem Run,6209,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,1,Running Late
M269,Heavy Traffic,2911,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
X009,Weather Conditions,12486,07 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,25-35 MIN,4,Running Late
Q298,Heavy Traffic,24422,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,15 MIN,5,Running Late
J714,Heavy Traffic,75003,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
X016,Heavy Traffic,11012,07 O'Clock,Bronx,CONSOLIDATED BUS TRANS. I,25-35 MIN,5,Running Late
M094,Problem Run,3075,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,25 MIN,4,Running Late
L013,Heavy Traffic,20865,07 O'Clock,Manhattan,B & F SKILLED INC.,30 MIN,2,Running Late
P547,Heavy Traffic,25201,07 O'Clock,Others,ACME BUS CORP. ,30 MIN,2,Running Late
X570,Heavy Traffic,11458,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,9,Running Late
L016,Heavy Traffic,20443,07 O'Clock,Manhattan,B & F SKILLED INC.,10 MIN,1,Running Late
Q485,Problem Run,30230,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,40 MIN,1,Running Late
X403,Other,12486,07 O'Clock,Bronx,"BORO TRANSIT, INC.",25-30 MIN,3,Running Late
P608,Heavy Traffic,29147,07 O'Clock,Others,ACME BUS CORP. ,30 MIN,3,Running Late
M220,Problem Run,2654,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,30 MIN,2,Running Late
X154,Heavy Traffic,8420,07 O'Clock,Bronx,"BORO TRANSIT, INC.",20-25 MIN,4,Running Late
L969,Heavy Traffic,14547,07 O'Clock,Bronx,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
Y938,Heavy Traffic,11816,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,20 MIN,1,Running Late
Y868,Heavy Traffic,7434,07 O'Clock,Bronx,"DON THOMAS BUSES, INC. ",30 MIN,4,Running Late
Q876,Heavy Traffic,25130,07 O'Clock,Queens,FIRST STEPS TRANSP INC. ,20 MIN,4,Running Late
M095,Heavy Traffic,5200,07 O'Clock,Manhattan,FIRST STEPS TRANSP INC. ,10 MIN,2,Running Late
M282,Heavy Traffic,2911,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,6,Running Late
M170,Heavy Traffic,2169,07 O'Clock,Manhattan,"RELIANT TRANS, INC. ",20 MIN,1,Running Late
X407,Heavy Traffic,8320,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,25 MIN,7,Running Late
R553,Weather Conditions,31030,07 O'Clock,Staten Island,"RELIANT TRANS, INC. ",20 MIN,2,Running Late
M041,Heavy Traffic,1616,07 O'Clock,Manhattan,"THOMAS BUSES, INC. ",20 MIN,1,Running Late
P562,Other,24075,06 O'Clock,Others,ACME BUS CORP. ,20 MIN,5,Running Late
M254,Heavy Traffic,2909,07 O'Clock,Manhattan,LEESEL TRANSP CORP ,20 MIN,4,Running Late
