Route_Number,Reason,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M781,Heavy Traffic,07/15/2016 07:39:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 min,1,Running Late
X369,Heavy Traffic,07/15/2016 07:38:00 AM,Bronx,VAN TRANS LLC,20mins,8,Running Late
M936,Heavy Traffic,07/15/2016 07:42:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 min,4,Running Late
M526,Heavy Traffic,07/15/2016 07:46:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,2,Running Late
L726,Heavy Traffic,07/15/2016 07:48:00 AM,,"RELIANT TRANS, INC.",30min,6,Running Late
R587,Heavy Traffic,07/15/2016 07:53:00 AM,Staten Island,PRIDE TRANSPORTATION (SCH,15 mins,1,Running Late
M300,Heavy Traffic,07/15/2016 07:56:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,10 mins,7,Running Late
M802,Heavy Traffic,07/15/2016 07:57:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,8,Running Late
M675,Heavy Traffic,07/15/2016 07:58:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,7,Running Late
M990,Heavy Traffic,07/15/2016 08:02:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,25 mins,6,Running Late
M631,Heavy Traffic,07/15/2016 08:03:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,5,Running Late
X077,Mechanical Problem,07/15/2016 08:00:00 AM,Bronx,VAN TRANS LLC,,10,Breakdown
M636,Problem Run,07/15/2016 08:04:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,60 Min,5,Running Late
M664,Heavy Traffic,07/15/2016 08:11:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,15 mins,2,Running Late
K402,Other,07/15/2016 09:46:00 AM,Brooklyn,ADDIES,60 MIN,1,Running Late
K554,Other,07/15/2016 02:55:00 PM,Brooklyn,PRIDE TRANSPORTATION (SCH,30,10,Running Late
K623,Heavy Traffic,07/18/2016 06:37:00 AM,Brooklyn,PRIDE TRANSPORTATION (SCH,30 min,1,Running Late
X019,Heavy Traffic,07/18/2016 06:58:00 AM,Bronx,VAN TRANS LLC,20 mins,1,Running Late
X113,Heavy Traffic,07/18/2016 07:00:00 AM,Bronx,VAN TRANS LLC,15 mins,4,Running Late
M658,Problem Run,07/18/2016 07:10:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,2,Running Late
M696,Problem Run,07/18/2016 07:14:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,7,Running Late
M657,Problem Run,07/18/2016 07:20:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,7,Running Late
M868,Heavy Traffic,07/18/2016 07:51:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15mins,2,Running Late
M636,Problem Run,07/18/2016 07:52:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,1 hr,6,Running Late
M802,Heavy Traffic,07/18/2016 07:56:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,9,Running Late
M300,Heavy Traffic,07/18/2016 07:56:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15MIN,9,Running Late
M666,Heavy Traffic,07/18/2016 08:08:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,5,Running Late
W937,Heavy Traffic,07/18/2016 08:28:00 AM,Westchester,"RELIANT TRANS, INC.",20,2,Running Late
M260,Mechanical Problem,07/18/2016 03:45:00 PM,Staten Island,PRIDE TRANSPORTATION (SCH,45min,1,Running Late
M303,Other,07/19/2016 07:00:00 AM,Manhattan,CONSOLIDATED BUS TRANS. I,20-25 MIN,2,Running Late
X060,Other,07/19/2016 07:10:00 AM,Bronx,"BORO TRANSIT, INC.",40-45 MIN,2,Running Late
M868,Heavy Traffic,07/19/2016 07:33:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15MIN,1,Running Late
Q801,Heavy Traffic,07/19/2016 07:32:00 AM,Queens,HOYT TRANSPORTATION CORP.,20MNS,3,Running Late
L726,Heavy Traffic,07/19/2016 07:35:00 AM,Bronx,"RELIANT TRANS, INC.",15MINS,2,Running Late
M300,Heavy Traffic,07/19/2016 07:43:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,5,Running Late
M936,Heavy Traffic,07/19/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,10 min,4,Running Late
M657,Problem Run,07/19/2016 07:45:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 MINTUES,10,Running Late
M526,Heavy Traffic,07/19/2016 07:47:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,15 mins,2,Running Late
M990,Problem Run,07/19/2016 07:49:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,30 min,7,Running Late
W954,Heavy Traffic,07/19/2016 07:55:00 AM,Westchester,"RELIANT TRANS, INC.",20,2,Running Late
Q911,Heavy Traffic,07/19/2016 07:47:00 AM,Queens,HOYT TRANSPORTATION CORP.,10MNS,4,Running Late
M802,Heavy Traffic,07/19/2016 08:08:00 AM,Manhattan,PRIDE TRANSPORTATION (SCH,20 mins,5,Running Late
M603,Problem Run,07/19/2016 08:14:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,40 min,6,Running Late
W928,Other,07/19/2016 08:40:00 AM,Westchester,"RELIANT TRANS, INC.",20 minutes,3,Running Late
W957,Heavy Traffic,07/20/2016 07:33:00 AM,Westchester,"RELIANT TRANS, INC.",25 min,3,Running Late
W954,Heavy Traffic,07/20/2016 07:34:00 AM,Westchester,"RELIANT TRANS, INC.",20 min,5,Running Late
L723,Heavy Traffic,07/20/2016 07:43:00 AM,,"RELIANT TRANS, INC.",30min,7,Running Late
M603,Heavy Traffic,07/20/2016 07:44:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,40 Mins,6,Running Late
L997,Heavy Traffic,07/20/2016 07:46:00 AM,Brooklyn,"RELIANT TRANS, INC.",20 min,3,Running Late
M636,Problem Run,07/20/2016 07:46:00 AM,Manhattan,HOYT TRANSPORTATION CORP.,1 Hour,6,Running Late
